ID,created_at,reporter_agent,severity,priority,repo,category,title,status,assigned_agent,evidence_path,notes
WE-20260527-011,2026-05-27T15:40:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat` + `easebot-backe,contract,"Free-tier image quota label disagrees with frontend (""3 images remaining"" but backend uses tokens)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-011/,
WE-20260527-012,2026-05-27T15:41:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,state-sync,Guest message counter decrements before AI response arrives — premature debit on stream failures,triaged,fix-state-data,qa-harness/evidence/WE-20260527-012/,
WE-20260527-013,2026-05-27T15:42:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,responsive,"Language selector (""Response language"") not reachable while analytics consent banner is open",triaged,fix-frontend,qa-harness/evidence/WE-20260527-013/,
WE-20260527-014,2026-05-27T15:43:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,functional,Sign-in error UI shows generic banner only — no inline field error after invalid creds,triaged,fix-frontend,qa-harness/evidence/WE-20260527-014/,
WE-20260527-015,2026-05-27T15:44:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,"Occasion chip ""Engagement"" has no visible state change on click (selection invisible in screenshot)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-015/,
WE-20260527-016,2026-05-27T15:45:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,contract,Selecting occasion chip does NOT update chat context — assistant unaware of occasion,triaged,fix-state-data,,
WE-20260527-017,2026-05-27T15:46:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,"""Sign in to save your conversations"" appears twice on guest home",triaged,fix-frontend,,
WE-20260527-018,2026-05-27T15:47:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,"Two identical ""Auto"" buttons in DOM near composer",triaged,fix-frontend,,
WE-20260527-019,2026-05-27T15:48:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,perf,Image preload (`/images/IMG_3917.PNG`) preloaded but unused — wasted bandwidth + console warning,triaged,fix-performance,,
WE-20260527-020,2026-05-27T15:49:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,edge,Guest hits send-on-empty-input — Enter key still triggers send,triaged,fix-frontend,,
WE-20260527-021,2026-05-27T15:50:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,e2e-flow,"Payment success page shows ""could not verify your transaction"" for unauthenticated direct hit",triaged,fix-frontend,,
WE-20260527-022,2026-05-27T15:51:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,e2e-flow,"Payment failure page shows ""Reason: unknown"" when no reason param provided",triaged,fix-frontend,,
WE-20260527-023,2026-05-27T15:52:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,functional,"NotFound page lacks search / sitemap — only ""Return to Home"" link",triaged,fix-frontend,,
WE-20260527-024,2026-05-27T15:53:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,e2e-flow,"Common URL aliases 404 instead of redirecting (`/privacy-policy`, `/terms-of-service`, `/images`, `/settings`)",in_review,fix-frontend,,fix-WE-20260527-024
WE-20260527-025,2026-05-27T15:54:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,state-sync,Settings URL pollutes browser history (`/?settings=account` doesn't pop when modal closes),triaged,fix-frontend,,
WE-20260527-026,2026-05-27T15:55:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,state-sync,"Tone slider — ""Save tone"" button: state-sync ambiguity vs autosave (10 sliders, manual save required)",triaged,fix-frontend,,
WE-20260527-027,2026-05-27T15:56:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,functional,"Voice presets — preview (""Tap the speaker to preview"") not testable on desktop, no inline confirmation",triaged,fix-frontend,,
WE-20260527-028,2026-05-27T15:57:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,responsive,"Settings shell has two duplicate tabs (AI Behavior, Data & Privacy, About each appearing twice)",triaged,fix-frontend,,
WE-20260527-029,2026-05-27T15:58:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,"Pricing page — currency dropdown buttons (USD/INR/GBP/EUR/AED/SGD/AUD/CAD) ship without aria-labels for ""selected""",triaged,fix-frontend,,
WE-20260527-030,2026-05-27T15:59:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,"Pricing — Free tier shows ""Billed in INR. ~$0 USD"" — confusing micro-copy",triaged,fix-frontend,,
WE-20260527-031,2026-05-27T16:00:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,e2e-flow,"Invalid /share/<shareId> displays ""expired or does not exist"" — no distinction between expired vs missing",triaged,fix-frontend,,
WE-20260527-032,2026-05-27T16:01:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,e2e-flow,"Invalid /shared/note/<id> shows generic ""Note not found"" — no request-access flow (PRD-BugsFixes 1.5)",triaged,fix-frontend,,
WE-20260527-033,2026-05-27T16:02:00Z,qa-functional-3,P3,Medium,Wedding-Ease-Viva-Chat,visual,Dark mode toggle leaves chat input/border in inconsistent contrast,triaged,fix-frontend,,
WE-20260527-034,2026-05-27T16:03:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,functional,Help page FAQ items render but click-to-expand state not confirmed,triaged,fix-frontend,,
WE-20260527-035,2026-05-27T16:04:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,Help page exposes phone + email in plain text without `tel:` / `mailto:` links,triaged,fix-frontend,,
WE-20260527-036,2026-05-27T16:05:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,"Feedback dialog (""Send Feedback"") missing required-field validation indicator",triaged,fix-frontend,,
WE-20260527-037,2026-05-27T16:06:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,"Pricing page — ""Token top-up packs"" row shows trailing whitespace + truncated label for Free tier",triaged,fix-frontend,,
WE-20260527-038,2026-05-27T16:07:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,responsive,"""Show prices in"" dropdown lists currencies twice on mobile due to duplicate render",new,,,
WE-20260527-039,2026-05-27T16:08:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,functional,"AI response stream lacks ""Stop generating"" indication for guest users (no abort UI surfaced)",triaged,fix-frontend,,
WE-20260527-040,2026-05-27T16:09:00Z,qa-functional-3,P3,Medium,Wedding-Ease-Viva-Chat,state-sync,"""Shorter / Longer / Simpler / More formal"" message-reframe chips appear even for broken responses",triaged,fix-state-data,,
WE-20260527-041,2026-05-27T16:10:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,Image generation response has no timestamp metadata visible to user,triaged,fix-frontend,,
WE-20260527-042,2026-05-27T16:11:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,responsive,"""Auto-detect"" language pill placement above guest banner pushes header to mobile second row",triaged,fix-frontend,,
WE-20260527-043,2026-05-27T16:12:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,"""BETA"" pill on header has duplicate aria-labelled element (""BETA"" text + `aria-label=""Beta program info""`)",new,,,
WE-20260527-044,2026-05-27T16:13:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,perf,Floater asset image (Wedding ease logo) referenced via spaced URL — `Wedding%20ease.png`,triaged,fix-frontend,,
WE-20260527-045,2026-05-27T16:14:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,visual,"TypeScript ""any"" leaking into key data path — `Wedding ease.png` rendered as both mobile + desktop hero (twice)",triaged,fix-frontend,,
WE-20260527-046,2026-05-27T16:15:00Z,qa-functional-3,P2,Medium,easebot-backend,contract,Backend `/api/chat/stream` returns 200 OK + SSE-encoded error for bad payload — content-type contract confusing,triaged,fix-backend-api,,
WE-20260527-047,2026-05-27T16:16:00Z,qa-functional-3,P2,Medium,easebot-backend,contract,Backend rate-limit (HTTP 429) lacks Retry-After header,duplicate` (canonical: `WE-20260527-359`),,,
WE-20260527-048,2026-05-27T16:17:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,functional,No documented voice-input UI on `/` — voice mic icon appears only on mobile chat view,triaged,fix-frontend,,
WE-20260527-049,2026-05-27T16:18:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,e2e-flow,"Checklist CRUD, Budget, Reminders, Gallery, Timeline, Notifications — unreachable as guest, coverage gap",triaged,fix-frontend,,
WE-20260527-050,2026-05-27T15:23:00Z,qa-visual,P1,high,Wedding-Ease-Viva-Chat,visual,AnalyticsConsent banner overlays critical content on every page (no scroll padding),in_review,fix-frontend,qa-harness/evidence/WE-20260527-050/,fix-WE-20260527-050
WE-20260527-051,2026-05-27T15:23:00Z,qa-visual,P1,high,Wedding-Ease-Viva-Chat,responsive,Settings deep-link param `?settings=<tab>` ignored on mobile — only top-level menu renders,triaged,fix-frontend,qa-harness/evidence/WE-20260527-051/,
WE-20260527-052,2026-05-27T15:23:00Z,qa-visual,P1,high,Wedding-Ease-Viva-Chat,responsive,Mobile chat input is only 251px wide and 37px tall (under touch-target) — primary CTA cramped,in_review,fix-frontend,qa-harness/evidence/WE-20260527-052/,fix-WE-20260527-052` (base: `Bug-Resolve-claude`)
WE-20260527-053,2026-05-27T15:23:00Z,qa-visual,P1,high,Wedding-Ease-Viva-Chat,responsive,35+ interactive elements below 44×44px touch target on mobile (every page),triaged,fix-frontend,qa-harness/evidence/WE-20260527-053/,
WE-20260527-054,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"/checkout with no plan param silently renders Pricing page (no error, no redirect)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-054/,
WE-20260527-055,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"/payment/success shows ""Payment received"" headline together with red ""We could not verify"" error",triaged,fix-frontend,qa-harness/evidence/WE-20260527-055/,
WE-20260527-056,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,Mobile sidebar has a large empty white area at the top (no logo / title / recent-threads list),triaged,fix-frontend,qa-harness/evidence/WE-20260527-056/,
WE-20260527-057,2026-05-27T15:23:00Z,qa-visual,P1,medium,Wedding-Ease-Viva-Chat,visual,Protected routes `/:userId/<feature>` silently render chat landing for guests (no auth gate UI),triaged,fix-frontend,qa-harness/evidence/WE-20260527-057/,
WE-20260527-058,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,visual,WeddingEaseFloater icon overlaps the bottom-right of cards on /payment/* and /help (desktop + tablet),triaged,fix-frontend,qa-harness/evidence/WE-20260527-058/,
WE-20260527-059,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,"Tablet (/help) — floater ""E"" sits directly on top of ""How do I..."" FAQ accordion chevron",triaged,fix-frontend,qa-harness/evidence/WE-20260527-059/,
WE-20260527-060,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,"Login ""What you get"" benefits card pushed below the fold on mobile (consent banner cuts last 2 bullets)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-060/,
WE-20260527-061,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,visual,Keyboard focus ring is the browser-default 1px blue outline (off-brand on warm/cream theme),likely_closed` (canonical: `WE-20260527-256`),,qa-harness/evidence/WE-20260527-061/,
WE-20260527-062,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,iPhone SE (320px) — sidebar Help link completely hidden behind consent banner; no scroll,triaged,fix-frontend,qa-harness/evidence/WE-20260527-062/,
WE-20260527-063,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,Mobile chat input grows on long text and overlaps the suggestion-chip row above it,triaged,fix-frontend,qa-harness/evidence/WE-20260527-063/,
WE-20260527-064,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"Desktop — WeddingEaseFloater ""E"" icon sits on top of chat input's mic / send button",triaged,fix-frontend,qa-harness/evidence/WE-20260527-064/,
WE-20260527-065,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,responsive,"/help tab pills ""FAQ / Help"" + ""Support & Feedback"" force same width on mobile, truncating tab labels",triaged,fix-frontend,qa-harness/evidence/WE-20260527-065/,
WE-20260527-066,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"Settings dialog throws Radix a11y warning ""DialogContent requires a DialogTitle"" (12+ console hits per page load)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-066/,
WE-20260527-067,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"""Sign up"" button on shared-thread auth gate has near-zero contrast (cream-on-cream)",triaged,fix-frontend,qa-harness/evidence/WE-20260527-067/,
WE-20260527-068,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"Email login flow shows ""Welcome Back"" + password field for every email — no signup branch for new users",triaged,fix-frontend,qa-harness/evidence/WE-20260527-068/,
WE-20260527-069,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,visual,Inline links lack hover-state feedback (no color change / underline on hover),triaged,fix-frontend,qa-harness/evidence/WE-20260527-069/,
WE-20260527-070,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,visual,"Two different sign-in surfaces exist — Settings modal (""Lets continue your story"") and /login page (""Welcome Back"")",triaged,fix-frontend,qa-harness/evidence/WE-20260527-070/,
WE-20260527-071,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,visual,/shared/note/<invalid-id> renders empty-state floating in a sea of beige whitespace (no header / footer chrome),triaged,fix-frontend,qa-harness/evidence/WE-20260527-071/,
WE-20260527-072,2026-05-27T15:23:00Z,qa-visual,P3,low,Wedding-Ease-Viva-Chat,visual,"Pricing ""MOST POPULAR"" eyebrow on the Pro card overlaps the top edge of the card on mobile",triaged,fix-frontend,qa-harness/evidence/WE-20260527-072/,
WE-20260527-073,2026-05-27T15:23:00Z,qa-visual,P2,medium,Wedding-Ease-Viva-Chat,responsive,Guest-Mode banner stack at top of chat (Guest Mode / Won't save / Sign in to save) takes ~10% of mobile viewport,triaged,fix-frontend,qa-harness/evidence/WE-20260527-073/,
WE-20260527-100,2026-05-27T10:30:00Z,qa-e2e-journeys,P1,high,Wedding-Ease-Viva-Chat,e2e-flow,First-time guest user cannot click chat input — AnalyticsConsent dialog intercepts pointer events on landing,in_review,fix-frontend` (via WE-20260527-050),qa-harness/evidence/WE-20260527-100/,
WE-20260527-150,2026-05-27,qa-harness,P0,P0,,state-sync,Display name doesn't sync to chat header / sidebar / planner / notes after Settings save (no F5),in_review,fix-state-data,,
WE-20260527-151,2026-05-27,qa-harness,P1,P1,,state-sync,Tier badge in ProfileMenu can be stale by up to 60s after upgrade (refetchInterval-bound),triaged,fix-state-data,,
WE-20260527-152,2026-05-27,qa-harness,P1,P1,,state-sync,Token usage meter lags actual usage by up to 60s (no per-message push),triaged,fix-state-data,,
WE-20260527-153,2026-05-27,qa-harness,P1,P1,,state-sync,Voice preset change doesn't update next TTS playback without reload (profile.voiceId stale),triaged,fix-state-data,,
WE-20260527-154,2026-05-27,qa-harness,P1,P1,,state-sync,Tone settings change doesn't reflect in next AI response without reload (toneSettings stale),triaged,fix-state-data,,
WE-20260527-155,2026-05-27,qa-harness,P1,P1,,state-sync,Liked-messages view is loaded once on login; new likes/unlikes don't update sidebar count or Liked view,triaged,fix-state-data,,
WE-20260527-156,2026-05-27,qa-harness,P1,P1,,state-sync,Cross-tab sync — none of the user-profile mutations broadcast to other tabs,triaged,fix-state-data,,
WE-20260527-157,2026-05-27,qa-harness,P2,P2,,state-sync,Theme toggle in one tab doesn't update other open tabs,triaged,fix-state-data,,
WE-20260527-158,2026-05-27,qa-harness,P1,P1,,state-sync,"Personalization ""About you"" + ""responseStyle"" save uses useAccount, but profile from AuthContext is stale — system prompt may use old values",triaged,fix-state-data,,
WE-20260527-159,2026-05-27,qa-harness,P1,P1,,state-sync,Email change in Settings doesn't update sidebar / profile menu / NotesView (passes profile.email from stale AuthContext),triaged,fix-state-data,,
WE-20260527-160,2026-05-27,qa-harness,P2,P2,,state-sync,Preferred-language change in chat header does not propagate to STT system prompts unless useChat reads from AuthContext (stale),triaged,fix-state-data,,
WE-20260527-161,2026-05-27,qa-harness,P2,P2,,state-sync,useAccount staleTime 30s — TokenPoolBar (and any other component using useAccount) lags real-time backend changes by up to 30s,triaged,fix-state-data,,
WE-20260527-162,2026-05-27,qa-harness,P2,P2,,state-sync,Theme toggle saves to backend fire-and-forget but doesn't invalidate useAccount — preferences stale until full reload,triaged,fix-state-data,,
WE-20260527-163,2026-05-27,qa-harness,P1,P1,,state-sync,profile.avatarUrl / photo — no avatar update path; ProfileIcon avatar fallback never refreshes from Firestore,triaged,fix-state-data,,
WE-20260527-164,2026-05-27,qa-harness,P2,P2,,state-sync,Liked products fetched once with subscribeToLikedProducts but no graceful handling of cross-tab race when 2 tabs like the same product simultaneously,triaged,fix-state-data,,
WE-20260527-165,2026-05-27,qa-harness,P2,P2,,state-sync,Active mode (chat/planner/image) is local React state; not synced across tabs even though sent messages should appear in both,triaged,fix-state-data,,
WE-20260527-166,2026-05-27,qa-harness,P2,P2,,state-sync,Onboarding status — first-chat flag set on backend but next visit may still show onboarding modal (no invalidate after first message),triaged,fix-state-data,,
WE-20260527-167,2026-05-27,qa-harness,P2,P2,,state-sync,Phone E.164 split fields (phoneCountryCode/phoneNational) updated via mutation but useEffect deps may rollback to derivedPhone on outside profile refresh,triaged,fix-state-data,,
WE-20260527-168,2026-05-27,qa-harness,P2,P2,,state-sync,"Conversation deletion — works via Firestore listener (subscribeToThreads), but client-side activeThreadId not always cleared, leading to a ""ghost"" header ref...",triaged,fix-state-data,,
WE-20260527-169,2026-05-27,qa-harness,P3,P3,,state-sync,"Optimistic UI absent for theme switch — uses local state, but theme write-back failures (offline / quota) leave silent inconsistency between client and server",triaged,fix-state-data,,
WE-20260527-170,2026-05-27,qa-harness,P0,P0,,state-sync,Two sources of truth for user profile (AuthContext.profile vs useAccount.profile) — fundamentally guarantees stale-everywhere bugs,in_review,fix-state-data,,
WE-20260527-200,2026-05-27T09:55:00Z,edge-case-qa,P1,P1,easebot-backend,edge,Vendor error string leaks to client on Azure OpenAI content-filter rejection,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-200/,
WE-20260527-201,2026-05-27T09:55:30Z,edge-case-qa,P1,P1,easebot-backend,edge,Invalid Firebase token error message leaks Admin-SDK internals + docs URL,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-201/,
WE-20260527-202,2026-05-27T09:56:00Z,edge-case-qa,P1,P1,easebot-backend,edge,/api/chat accepts ~19MB junk imageData payload — resource exhaustion vector,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-202/,
WE-20260527-203,2026-05-27T09:56:30Z,edge-case-qa,P2,P2,easebot-backend,edge,Validation error responses leak full Zod schema internals,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-203/,
WE-20260527-204,2026-05-27T09:57:00Z,edge-case-qa,P0,P1,easebot-backend,edge,/api/chat allows guest pass-through — any unauth caller hits LLM + spends Azure quota,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-204/,
WE-20260527-205,2026-05-27T09:57:30Z,edge-case-qa,P2,P2,Wedding-Ease-Viva-Chat,edge,"Vite dev server returns frontend with zero security headers (no CSP, no XFO)",triaged,fix-backend-api,qa-harness/evidence/WE-20260527-205/,
WE-20260527-206,2026-05-27T09:58:00Z,edge-case-qa,P2,P2,Wedding-Ease-Viva-Chat,edge,PersonalizationTab partnerName input has no maxLength — can paste megabyte string,triaged,fix-frontend,qa-harness/evidence/WE-20260527-206/,
WE-20260527-207,2026-05-27T09:58:30Z,edge-case-qa,P3,P3,easebot-backend,edge,"Whitespace-only chat message rejected with confusing ""at least 1 character"" error",triaged,fix-backend-api,qa-harness/evidence/WE-20260527-207/,
WE-20260527-208,2026-05-27T09:59:00Z,edge-case-qa,P2,P2,easebot-backend,edge,Prompt-injection guard wraps but does NOT block — sensitive system prompts may leak via creative phrasings,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-208/,
WE-20260527-209,2026-05-27T09:59:30Z,edge-case-qa,P1,P1,easebot-backend,edge,/api/transcribe leaks server-side temp file paths in ffmpeg error message,in_review,fix-backend-api,qa-harness/evidence/WE-20260527-209/,
WE-20260527-210,2026-05-27T10:00:00Z,edge-case-qa,P2,P2,easebot-backend,edge,TTS endpoint vocalizes literal HTML tags / script payloads without text-only validation,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-210/,
WE-20260527-211,2026-05-27T10:02:00Z,edge-case-qa,P0,P0,easebot-backend,edge,🚨 SECURITY — Prompt injection via client-controlled history[].role='system' (P0),in_review,fix-backend-api,qa-harness/evidence/WE-20260527-211/,fix-WE-20260527-211` (pushed to origin)
WE-20260527-212,2026-05-27T10:02:30Z,edge-case-qa,P1,P1,easebot-backend,edge,"history[].content has no max-length — 500KB history payload accepted, breaks LLM call",triaged,fix-backend-api,qa-harness/evidence/WE-20260527-212/,
WE-20260527-213,2026-05-27T10:03:00Z,edge-case-qa,P2,P2,easebot-backend,edge,SSE stream stays open without heartbeat acknowledgement — client disconnect not always detected,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-213/,
WE-20260527-214,2026-05-27T10:04:00Z,edge-case-qa,P1,P1,easebot-backend,edge,/api/feedback accepts unauth writes + persists raw HTML to Firestore,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-214/,
WE-20260527-215,2026-05-27T10:04:30Z,edge-case-qa,P3,P3,easebot-backend,edge,API mirrors at /api/ and /api/v1/ — version drift / shadow attack surface,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-215/,
WE-20260527-216,2026-05-27T10:05:00Z,edge-case-qa,P1,P1,easebot-backend,edge,Schema/controller field-name drift — imageBase64 & audioBase64 entirely bypass validation,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-216/,
WE-20260527-217,2026-05-27T10:05:30Z,edge-case-qa,P2,P2,easebot-backend,edge,Schema requires `message` even for audio/image-only requests — controller logic unreachable,triaged,fix-backend-api,,
WE-20260527-218,2026-05-27T10:06:00Z,edge-case-qa,P2,P2,easebot-backend,edge,SSE error frame returns HTTP 200 — client cannot distinguish error from success,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-218/,
WE-20260527-219,2026-05-27T10:06:30Z,edge-case-qa,P3,P3,easebot-backend,edge,Malformed JSON body echoes the offending input fragment back to client,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-219/,
WE-20260527-220,2026-05-27T10:07:00Z,edge-case-qa,P1,P1,Wedding-Ease-Viva-Chat,edge,Chat image-attach inputs have no client-side file-size cap — browser freeze + huge uploads,triaged,fix-frontend,qa-harness/evidence/WE-20260527-220/,
WE-20260527-221,2026-05-27T10:08:00Z,edge-case-qa,P2,P2,easebot-backend,edge,Cancellation registry allows cross-guest cancellation — any guest can abort any other guest's stream,triaged,fix-backend-api,qa-harness/evidence/WE-20260527-221/,
WE-20260527-222,2026-05-27T10:08:30Z,edge-case-qa,P2,P2,easebot-backend,edge,"Client-supplied requestId — duplicate registrations silently overwrite, leaking AbortControllers",triaged,fix-backend-api,qa-harness/evidence/WE-20260527-222/,
WE-20260527-223,2026-05-27T10:09:00Z,edge-case-qa,P2,P2,Wedding-Ease-Viva-Chat,edge,"useChat catch-all ""Something went wrong"" — no offline / 429 / 500 distinction",triaged,fix-state-data,,
WE-20260527-224,2026-05-27T10:09:30Z,edge-case-qa,P3,P3,Wedding-Ease-Viva-Chat,edge,App has no offline detection / service worker — no PWA fallback when network drops,triaged,fix-frontend,,
WE-20260527-225,2026-05-27T10:10:00Z,edge-case-qa,P3,P3,easebot-backend,edge,"SSE Last-Event-ID is logged but never honored — claimed ""reconnection support"" is non-functional",triaged,fix-backend-api,,
WE-20260527-226,2026-05-27T10:10:30Z,edge-case-qa,P2,P2,easebot-backend,edge,promptGuard logs IP + first 120 chars of user message — PII / privacy concern,triaged,fix-backend-api,,
WE-20260527-227,2026-05-27T10:11:00Z,edge-case-qa,P0,P1,easebot-backend,edge,"/api/generate-image returns 200 {""imageUrl"":[]} on Azure failure — silent error, tokens may still be charged",in_review,fix-backend-api,qa-harness/evidence/WE-20260527-227/,
WE-20260527-250,2026-05-27T15:30:00Z,a11y-qa,P1,high,Wedding-Ease-Viva-Chat,a11y,ChatInput Send/Mic/Stop buttons rely on title only — no aria-label,triaged,fix-frontend,qa-harness/evidence/WE-20260527-250/,"4.1.2 Name, Role, Value (Level A); 2.5.3 Label in Name (Level A)"
