ticket_id,severity,category,title,bug_summary,fix_summary,pr_url,pr_number,status,wave,assigned_agent,notes
WE-20260527-256,P1,a11y,Visible focus ring with brand-primary (WCAG 1.4.11 + 2.4.7),Tailwind ring removed in places; keyboard users had no focus indicator,Restore visible 2px ring matching brand-primary on all interactive,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/42,42,in_review,prior,fix-frontend,
WE-20260527-024,P2,routing,Long-name aliases for privacy-policy/terms-of-service/images/settings,/privacy-policy etc. 404'd because routes used short names,Added route aliases,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/43,43,in_review,prior,fix-frontend,
WE-20260528-558,P0,state-sync,Tab B never sees new messages - subscribeToMessages never called,subscribeToMessages function exists but useChat never invokes it - tab B stays stale,Subscribe useChat to Firestore messages for active thread,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/44,44,in_review,prior,fix-state-data,One-line fix
WE-20260528-251,P0,a11y,Chat composer textarea has no accessible name,Main chat input had no aria-label; screen-reader users invisible primary input,Add explicit aria-label,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/45,45,in_review,prior,fix-frontend,WCAG 4.1.2 A
WE-20260528-101,P0,functional,Vibe mode forceImageGeneration 500 - regex constructor,base64 strings passed to RegExp constructor crashed; Vibe path broken,Guard data: URIs in non-stream image markdown strip,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/46,46,in_review,prior,fix-backend-api,Unblocks Vibe e2e coverage
WE-20260528-102,P0,routing,Guest-cap upgrade link to /signup 404,Guest-cap error message linked to /signup which doesn't exist - conversion killer,Rewrote link to existing /pricing route,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/47,47,in_review,prior,fix-frontend,
WE-20260528-405,P1,chat,Apply 4MB image cap to inline-edit Replace + Attach inputs,Inline-edit Replace/Attach paths bypassed the 4MB image cap that send path had,Centralized validateChatImage; applied to all 3 entry points,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/48,48,in_review,prior,fix-frontend,
WE-20260528-304,P1,perf,Lazy-load NotesView so vendor-tiptap detaches from /chat eager load,Index.tsx static-imported NotesView - forced @tiptap/* into /chat initial bundle,React.lazy NotesView; route-level Suspense boundary,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/49,49,in_review,prior,fix-performance,Bundle-trio: pairs with -302/-303
WE-20260528-203,P0,security,inputSanitizer skips history[].content - control chars to LLM + log injection,Sanitize allowlist only includes 'message'/'prompt' keys; history[].content + vibeTitle + threadId bypass control-char stripping; NUL bytes / ANSI escapes reach LLM + logs,Inverted to denylist (PRESERVE_VERBATIM_FIELDS); now sanitizes every string at any depth including array elements; 12 new unit tests via node:test (all 67/67 backend tests pass + tsc clean),https://github.com/MeghaPatel07/easeBot/pull/50,50,in_review,1,fix-backend-api,Wave 1 first complete - 6 min
WE-20260528-968,P0,state-sync,AnalyticsConsent banner persists cross-tab - GDPR duplicate-accept records,Banner uses useState init from localStorage; no storage event listener; Tab B keeps showing banner after Tab A accepts; user re-clicks = duplicate consent_accepted PostHog records,Added single useEffect with window storage listener for ph_consent key; syncs accepted/declined/cleared across tabs without re-triggering track() (audit trail stays one-event-per-action); Playwright two-tab repro shows Tab B hides banner in 2ms (SLO was 1s),https://github.com/MeghaPatel07/easeBot/pull/51,51,in_review,2,fix-state-data,S2 -551/-561 stay open (BC-ARCH parent)
WE-20260528-302,P1,perf,Vendor chunk 324KB gzipped (target 200KB),No manualChunks in vite.config.ts; all node_modules in single chunk; LH warns chunks over 500KB. Also pre-existing PR #24 had circular vendor-react->vendor->vendor-react bug,Rebuilt manualChunks with anchored /node_modules/<pkg>/ matchers; pulled react transitives (router/loose-envify/etc) into react-vendor; new tanstack-vendor split (39KB raw / 12KB gz extracted from catch-all); circular-chunk warning gone; vendor catch-all -58KB raw / -19KB gz (-15%),https://github.com/MeghaPatel07/easeBot/pull/52,52,in_review,1,fix-performance,Builds clean chunk graph for follow-up dynamic-import work to land on
WE-20260528-004,P0,functional,PayU return redirects to :8080 but dev runs on :8081 - payment callback dies,handleReturn issues 302 to FRONTEND_BASE_URL/payment/(success|failure) but env default + actual Vite port disagree; user lands on blank page after every PayU sandbox transaction,Flipped .env.example default 8080->8081 with explanatory comment; new frontendBaseUrl() resolver (env -> dev fallback :8081 -> throw in prod); validatePaymentConfig now requires FRONTEND_BASE_URL at boot in prod (fail-fast vs silent mid-flow failure); 55/55 backend tests pass + tsc clean,https://github.com/MeghaPatel07/easeBot/pull/53,53,in_review,2,fix-backend-api,
WE-20260528-985,P0,state-sync,Note draft same-key race across tabs - silent data loss,Two tabs editing same note; both save; second-saver clobbers first with no version/etag/updatedAt check,Added NoteConflictError + optional expectedUpdatedAtMillis precondition on updateNote (runTransaction read-then-write when provided; existing fast path preserved); useNoteEditor tracks lastSeenUpdatedAtRef from subscribeToNote and threads precondition through all 4 write sites (flushPending/scheduleSave/explicit-save/unmount); raises existing Approach-B amber banner on conflict,https://github.com/MeghaPatel07/easeBot/pull/54,54,in_review,1,fix-state-data,S2 -554 (BC parent) stays open
WE-20260528-990,P0,state-sync,Guest msg-counter quota bypass via multi-tab,easebot-guest-msg-count localStorage key not synced cross-tab; 3 tabs = 3x quota; revenue leak via quota,Three surgical Index.tsx edits: storage listener syncs both guest counters cross-tab; checkAndBumpGuestCount reads localStorage first + max(ref stored) before cap check; image-count Math.max ratchet also consults localStorage. Playwright 3-tab repro: counter syncs in ~200ms; cap-hit swaps to signup CTA in all tabs simultaneously,https://github.com/MeghaPatel07/easeBot/pull/55,55,in_review,2,fix-state-data,Index.tsx merge conflict with -303 expected - Krish resolves
WE-20260528-303,P1,perf,Index.tsx 1.3MB raw / 354KB gzipped - 72% unused on /chat,God-component statically imports 14+ view modules (Budget/Timeline/Shopping/Planner/Gallery/Notification/etc); all ship up-front regardless of route,Converted 11 views to React.lazy() (PlannerView/ChecklistDetail/BudgetDashboard/ShoppingListView/SavedItemsView/TimelineView/RemindersView/ImagesHub/ProgressDashboard/NotificationPanel/InvitePartner); single Suspense wrapper at mainAreaShell(); dropped unused GalleryView import; NotesView left for PR #49. Index chunk -141KB raw / -33KB gz (-24% / -23%); 11 new on-demand chunks; LCP est -0.5-1.0s on mid-tier mobile,https://github.com/MeghaPatel07/easeBot/pull/56,56,in_review,2,fix-performance,Merge PR #49 FIRST to minimize conflict (single import line)
WE-20260528-002,P0,security,SSML injection in /api/tts via unsanitized voiceName,voiceName accepted from req.body with zero validation; interpolated raw into SSML attribute; attacker substitutes voice / injects prosody elements / leaks Azure SDK errors,New Zod schema with 42-voice-ID allowlist; safeParse upfront in ttsController; canned 500 message (no err.message leak per WE-20260527-353 pattern); defense-in-depth escapeSSMLAttr() wraps both xml:lang and voice name interpolations in azureTTS; 11-assertion test suite. Both PoC attacks now 400 (no Azure call); legitimate Kore + AriaNeural still work,https://github.com/MeghaPatel07/easeBot/pull/57,57,in_review,1,fix-backend-api,Closes WE-20260527-210 + WE-20260527-216 partial
WE-20260528-1056,P1,a11y,Chat messages lack lang attr - NVDA mispronounces non-English (WCAG 3.1.2),Backend sets message.language (BCP-47) but ChatMessages wrapper div has no lang= - SR reads Hindi/Arabic with English phonemes,Added isRtlLanguage(code) helper checking BCP-47 primary subtag (ar/he/fa/ur/ps/yi/dv); AI markdown wrapper now carries lang={message.language||en} + dir based on RTL detection; user-typed p carries dir=auto for typed Arabic/Hebrew bidi; html lang page-level swap deliberately deferred (out of scope - 3.1.1 vs 3.1.2 split),https://github.com/MeghaPatel07/easeBot/pull/58,58,in_review,4,fix-frontend,
WE-20260528-103,P1,contract,Mode contract drift - styler vs stylist + stream silent-swallow,3 inconsistent surfaces: client union stylist/asst/etc; server schema enum styler/planner/knowledge (typo); stream endpoint permissive accepts anything then defaults to planner silently,Canonical set unified: planner/stylist/knowledge/assistant; added 'assistant' to chat.ts schema; mounted validateBody(ChatRequestSchema) on POST /api/chat/stream (was missing - silent swallow root cause); 12-case regression test pins accept/reject set; therapist/consultant left disabled per CLAUDE.md; image not added (it's a tool not a mode),https://github.com/MeghaPatel07/easeBot/pull/59,59,in_review,3,fix-backend-api,67/67 backend tests pass
WE-20260528-1051,P1,a11y,Auth forms missing autoComplete attributes (WCAG 2.2 SC 3.3.8),Email/password/OTP/phone inputs across SignIn/SignUp/Forgot/Login lack autocomplete - password managers can't autofill,18 attribute additions across SignInModal + SignUpModal + PhoneInput: email/current-password/new-password/one-time-code/tel/name per WCAG 2.2 mapping; Playwright live-DOM proves every input has its correct autocomplete value,https://github.com/MeghaPatel07/easeBot/pull/60,60,in_review,3,fix-frontend,
WE-20260528-1063,P1,a11y,Icon-only buttons lack aria-label for Voice Control/Switch Control (WCAG 2.5.3 + 4.1.2),Many icon-only buttons in ChatHeader/ChatInput/ImageActions/ImageCarousel/AudioPlayer lack aria-label - voice users 3x friction,24 verb+object aria-labels across ChatHeader/ChatInput (dynamic mic states)/ImageActions (download/copy/attach/share/save/delete)/ImageCarousel (close/zoom/prev/next/thumb/variant)/AudioPlayer; ChatMessages left for sibling -1056 agent,https://github.com/MeghaPatel07/easeBot/pull/61,61,in_review,4,fix-frontend,
WE-20260528-861,P2,visual,TimelineView empty-state misses 'have date no entries' case,Guard fires only when entries=0 AND !weddingDate; common case (user sets date then opens timeline before adding events) falls through to broken-looking axis,Guard flipped to entries.length=0 alone; empty-state body branches on weddingDate - no-date keeps original copy (zero regression); has-date shows Heart icon + 'Your wedding is on {formattedDate}' + 'Add an event' (handleOpenDialog) + 'Go to checklists' CTAs; zero new imports,https://github.com/MeghaPatel07/easeBot/pull/62,62,in_review,6,fix-frontend,
WE-20260528-884,P3,visual,NotificationPanel empty state misleading for users with no checklists,Empty copy promises reminders but free-tier user with no checklists/events has no path to ever see one; dead-end UX,4-branch state machine: no-checklists -> Planner CTA / has-no-due-dates -> Add dates / paid-no-collab -> Invite Partner / fallback; new optional props isPremium + onNavigate threaded from Index.tsx (backward-compatible),https://github.com/MeghaPatel07/easeBot/pull/63,63,in_review,7,fix-frontend,Index.tsx 3-way merge w/ -303 + -990 possible
WE-20260528-896,P3,visual,ChecklistDetail/ShoppingListView inconsistent empty states,Shopping says "Add your first item above" pointing to input; ChecklistDetail just "No items yet" with no guidance,Harmonized both: ShoppingListView now uses identical centered block + "+ Add the first item" link that opens its own add-item form (calls setAddingItemToListId). Agent diverged from ticket - ChecklistDetail already had the better pattern; ported that pattern to Shopping instead of vice-versa,https://github.com/MeghaPatel07/easeBot/pull/64,64,in_review,7,fix-frontend,
WE-20260528-1055,P1,a11y,useTypewriter RAF bypasses prefers-reduced-motion (WCAG 2.2.2),JS hook uses requestAnimationFrame at 12ms/char; unaffected by CSS media reset; users with reduce-motion still see 5-30s char-by-char animation,Added matchMedia('(prefers-reduced-motion: reduce)') subscription (Safari <14 addListener fallback + SSR-safe initial read); both effects gated on reduceMotion: matched=instant displayedText, unmatched=byte-identical previous behavior. ChatMessages untouched (sibling -1056 owns it). Behavioral hook test 4/4 pass: OFF=41 samples smooth growth, ON=2 samples instant,https://github.com/MeghaPatel07/easeBot/pull/65,65,in_review,5,fix-frontend,-1066 (image fades) still pending
WE-20260528-305,P1,perf,PostHog initAnalytics blocks first render - 50KB gz inline at boot,initAnalytics + startReplay called synchronously before createRoot; posthog-js (140KB raw / 50KB gz) inline in main bundle; /ingest/* requests compete with main JS on bandwidth,New <AnalyticsBoot/> in App.tsx fires once on mount via requestIdleCallback(2s timeout) + setTimeout(0) fallback to dynamic-import analytics; lib/analytics now uses import type only at module scope + Proxy + 200-entry FIFO queues per export to buffer pre-init calls without losing events; persisted ph_consent re-applied inside init. vendor-posthog removed from modulepreload chain (-59KB gz initial / -7.6%); chunk still emitted as dynamic load,https://github.com/MeghaPatel07/easeBot/pull/66,66,in_review,5,fix-performance,Funnel events fire ~50ms later; Krish verify dashboards post-merge
WE-20260528-897,P3,visual,BudgetDashboard 0% / 0 left chips when no categories,Footer chips literally render "0% used" + "0 left" when budget.categories.length=0 - misleading "0% of 0",Option A (placeholders) - "—% used" / "— left" in muted text-foreground/40 preserves footer layout rhythm; left-side CTA "Add categories to start tracking" untouched; conditional render keyed on budget.categories.length===0,https://github.com/MeghaPatel07/easeBot/pull/67,67,in_review,8,fix-frontend,
WE-20260528-860,P3,visual,Sonner toaster hardcoded theme=dark - light mode users see dark toasts,Component reads useTheme() then passes literal "dark" to Sonner - hook return unused; copy-paste from shadcn snippet,1-line fix: theme="dark" -> theme={theme as ToasterProps[theme]}; useTheme() hook return now actually consumed,https://github.com/MeghaPatel07/easeBot/pull/68,68,in_review,9,fix-frontend,
WE-20260528-892,P3,visual,AttachmentPicker empty states dead-end (no CTA),"No notes yet" / "No checklists yet" etc are pure text - user needs 6 clicks to escape picker / navigate / create / return,Extended EmptyState with optional actionLabel+onAction (backward compat); goTo() helper closes picker then navigate() on next animation frame (avoids close-vs-route race); 4 tab CTAs (Open Notes/Planner/Timeline/Gallery) gated on userId so guests aren't pushed; search-filter "no matches" stays text; quick-create dialog deliberately deferred,https://github.com/MeghaPatel07/easeBot/pull/69,69,in_review,8,fix-frontend,
WE-20260528-864,P2,visual,SharedChat/SharedNote no print stylesheet - PDFs include gradient/floater/CTA + split bubbles,Cmd+P on /share/* leaves decorative chrome and splits message bubbles mid-sentence; planners can't cleanly hand off PDFs to clients,Hybrid approach: marker class .shared-print-surface on both page roots + inline Tailwind print:* utilities for per-element bits + central @media print block in index.css for gradient pseudo-elements and globally-mounted fixed banners (AnalyticsConsent/CapHitBanner/sonner/role=dialog consent) via body:has() selectors; page-break-inside:avoid on bubbles + page-break-after:avoid on headings; URL-after-link print. S2 -457 (legal pages) stays open,https://github.com/MeghaPatel07/easeBot/pull/70,70,in_review,6,fix-frontend,
WE-20260528-893,P3,visual,NoteShareDialog empty list area when no shares,Share dialog opens with form at top + blank list below; no copy explaining the empty list,Inline empty-state when no collaborators AND no public link: Share2 icon in tinted circle + "No shares yet" heading + sub-copy pointing to form + ArrowUp cue for owners; non-owners see alt copy; owner row + existing controls unchanged; preserves fine-grained behavior for "no collaborators but public link enabled",https://github.com/MeghaPatel07/easeBot/pull/71,71,in_review,10,fix-frontend,
WE-20260528-880,P3,responsive,Settings tabs lose scroll position on mobile back-flow,Mobile SettingsShell remounts tab content on back/re-enter; user scrolls deep in Plan&Billing then loses position; UX paper cut,mobileScrollRef + scrollPositionsRef Map<SettingsTabId number>; snapshotMobileScroll on Back tap (React clears refs before cleanup); useLayoutEffect+requestAnimationFrame restores scrollTop on tab return + cleanup snapshots old tab (covers URL back/forward); mobile-only - desktop/tablet keep scroll container mounted; Map cleared on modal close,https://github.com/MeghaPatel07/easeBot/pull/72,72,in_review,9,fix-frontend,
WE-20260528-870,P3,visual,Note+checklist titles no length cap - 200-char titles overflow editor header,No maxLength on note or checklist title inputs; sidebar truncates fine but editor header overflows + share metadata renders awkward,NoteHeader: maxLength=80 + slice guard + truncate on input + read-only h1 fallback + live n/80 counter visible within 10 of cap. NotesSidebar: module-scope TITLE_MAX=80 applied to rename-note/rename-folder/new-folder. PlannerView: new-checklist title cap+slice+counter. ChecklistDetail not modified (no title-edit input there - title is read-only render at L238),https://github.com/MeghaPatel07/easeBot/pull/74,74,in_review,10,fix-frontend,
WE-20260528-1066,P3,a11y,Tailwind animate-pulse/shimmer leak through reduce-motion (one cycle still plays),Global CSS reset clamps duration but iteration-count=1 means one pulse/shimmer cycle plays anyway; can trigger vestibular-disorder users,13 sites patched: 9 in ChatMessages (animate-in/pulse/shimmer/progress) + 3 in ImageCarousel + 1 in GalleryView. All animate-* wrapped in Tailwind motion-safe: prefix. ChatMessages L585 transition-all left (handled acceptably by global reset per ticket). L324 was typo (no animation there),https://github.com/MeghaPatel07/easeBot/pull/73,73,in_review,10,fix-frontend,Classname-only - ChatMessages+ImageCarousel merge conflicts vs PR #58/#61 minimal
WE-20260528-107,P2,security,sharedChats threadTitle not sanitized - Markdown/HTML injection in public view,createSharedChat writes title verbatim; SharedChat renders via Markdown - attacker title like [Click](javascript:alert(1)) or <img onerror=alert(1)> reaches public page,New sanitizeShareTitle() helper called in createSharedChat() - iterative MD-link sweep handles nested parens (original suggested regex had bug agent caught in unit test); SharedChat header gets security comment forbidding Markdown wrappers; 9 unit tests covering all attack vectors (img onerror / md link / script tag / anchor / 200-char / null); paired -106 stays on backlog,https://github.com/MeghaPatel07/easeBot/pull/75,75,in_review,11,fix-frontend,
WE-20260528-865,P3,visual,PersonalizationTab textareas 1500-char cap with no UI counter,About-you / Response-style textareas accept 1500 chars; user has no idea how close they are to cap,New CUSTOM_INSTRUCTIONS_WARN_REMAINING=100 constant; both counters use cn() to swap to text-warning within 100 chars of cap; tabular-nums (no width shift) + aria-live=polite (SR threshold-flip announce); maxLength already present kept untouched,https://github.com/MeghaPatel07/easeBot/pull/81,81,in_review,12,fix-frontend,
WE-20260528-871,P3,visual,VibeDNAStrip + CustomVibeForm title char counter missing,maxLength=30/40 set but no in-UI counter; user types until cut off invisibly,Hoisted magic 30/40 into DESCRIPTOR_MAX / TITLE_MAX constants; counter renders only within 5 chars of cap (matches PR #74); switches to text-warning at cap; aria-live=polite + conditional aria-describedby for SR; defensive .slice() in VibeDNAStrip onChange (CustomVibeForm already had one),https://github.com/MeghaPatel07/easeBot/pull/82,82,in_review,12,fix-frontend,
WE-20260528-874,P3,visual,SidebarMenuSkeleton width random per render = layout jitter,Random --skeleton-width-* per render causes nav skeleton to jitter every re-render,Swapped useMemo(Math.random[]) for useRef-captured value (useRef initial NOT re-invoked by StrictMode = stable in dev+prod); added optional seed?:number prop that deterministically picks from 60%/75%/90% array when stable seed provided; backward compatible,https://github.com/MeghaPatel07/easeBot/pull/80,80,in_review,12,fix-frontend,
WE-20260528-878,P3,visual,Dialog overlay opacity 12% too faint - no visual modal scrim,bg-[rgb(73_61_54/0.12)] too faint; modals don't visually separate from page,1-line: bg-[rgb(73_61_54/0.12)] -> bg-overlay-scrim/40 - uses existing project token (--overlay-scrim already defined in index.css; same pattern as ImageCarousel and ImageActions). /40 lands in ticket's recommended 40-50% range,https://github.com/MeghaPatel07/easeBot/pull/77,77,in_review,12,fix-frontend,
WE-20260528-883/889/898,P2/P3,visual,Toast UI trio - slide direction inconsistent + description no break-words + viewport max-h-screen,Same file 3 issues: slide-in direction mobile vs desktop / long backend error overflow / 10+ stacked toasts off-screen on mobile,Bundled fix in one PR (same file): viewport max-h-screen -> max-h-[50vh] gap-2 overflow-y-auto; variants sm:slide-in-from-bottom-full -> sm:slide-in-from-right-full (docking-edge motion); description gets break-words + [overflow-wrap:anywhere] + max-h-32 overflow-y-auto,https://github.com/MeghaPatel07/easeBot/pull/79,79,in_review,12,fix-frontend,Bundle PR - 3 tickets one file
WE-20260528-887,P3,visual,NotesView modal stays open when switching notes from sidebar,Click handler doesn't close modal first - leaves modal open over new note,Reordered onSelectNote handler: close picker FIRST then switch active note (and same for onCreateNote for consistency); added key={note.id} on NoteEditor to force clean unmount/remount between notes. Root cause: TipTap editor useEffect content reset was async + popover lingered one frame causing cross-render flash,https://github.com/MeghaPatel07/easeBot/pull/78,78,in_review,12,fix-frontend,
WE-20260528-888,P1,functional,CheckoutModal+Checkout phone maxLength=15 truncates international numbers (MISFILED - actually GSTIN field),Original ticket framed as phone-number truncation; agent investigation showed the field at line 129/414 is GSTIN (Indian tax ID) not phone - label says GSTIN/help says "Enter a valid 15-character GSTIN"/validated by GSTIN_REGEX. paymentService BillingAddressInput has NO phone field. PhoneInput exists at auth/PhoneInput.tsx but not wired to checkout,BLOCKED - misfiled ticket; would need (a) new ticket "Add phone field to checkout for PayU" with full form+service+backend scope or (b) wont-fix this as misfiled. Krish decision needed,,,blocked,12,fix-frontend,Smart agent catch - refused to commit misleading "phone fix" to a GSTIN field

WE-20260528-895,P2,perf,VibeComposer img missing loading=lazy + dimensions = LCP/CLS,Vibe preview thumbs block LCP + cause CLS without lazy + intrinsic dims,Added width=48 + height=48 + loading=lazy + decoding=async to the single 48x48 reference-preview img (Tailwind h-12 w-12 matches 1:1 - no layout churn). Scope note: file has only 1 img (single preview); vibe thumb grid is in VibePicker/VibeCard which is out of scope here,https://github.com/MeghaPatel07/easeBot/pull/76,76,in_review,12,fix-performance,

WE-20260528-1052,P1,a11y,Checkout address form missing autocomplete (WCAG 1.3.5),Address inputs (name/email/address/country/state/city/postal) lack autocomplete attributes - browser autofill broken,9 autoComplete additions to Checkout.tsx address form: name/email/address-line1/country/address-level1/address-level2/postal-code/off-for-GSTIN. WCAG 3.3.7 (persist billing to profile + prefill) deliberately out of scope - flagged in PR body for follow-up ticket,https://github.com/MeghaPatel07/easeBot/pull/83,83,in_review,13,fix-frontend,
WE-20260528-1091,P2,a11y,SettingsModal voice preview audio race conditions,Ticket title said auto-play but agent found voice preview was already click-gated. Real issues: requestTTS in-flight races / missing blob URL revoke on modal close / no unmount cleanup,Added previewTokenRef monotonic counter (discards stale TTS results when newer click/close/unmount); previewUrlRef tracks active blob URL for revocation from any path; new stopPreview() single source of truth bumps token+pauses+revokes+clears UI; toggle-while-loading now cancels (previously only playing cancelled). WCAG 1.4.2/2.2.2 satisfied,https://github.com/MeghaPatel07/easeBot/pull/84,84,in_review,13,fix-frontend,Smart agent recategorization
WE-20260528-1088,P2,a11y,ChatSidebar search debounce (WCAG 4.1.3 status announcements),Ticket hypothesized focus trap but agent verified no preventDefault and no programmatic focus exists. Real ticket Expected section asked for screen-reader status announcements during debounce,New isSearchDebouncePending state flipped by existing useEffect; thread-history wrapper gets role=region+aria-label+aria-busy; new sr-only role=status+aria-live=polite+aria-atomic region announces "Searching for {query}" during debounce then "N threads match {query}" when settled. No event handlers/behavior changes,https://github.com/MeghaPatel07/easeBot/pull/85,85,in_review,13,fix-frontend,Smart agent recategorization
WE-20260528-1099,P2,a11y,WeddingEaseFloater overlaps mobile content (WCAG 2.4.11),Fixed-position decorative element overlaps content on mobile + may obscure focus targets,Reinforces existing hidden sm:block with pointer-events-none sm:pointer-events-auto (belt-suspenders); corrects misleading aria-label (link is inert - href/onClick already commented); marks animate-ping overlay aria-hidden=true; adds data-testid for Playwright; documents WCAG 2.4.11 rationale,https://github.com/MeghaPatel07/easeBot/pull/86,86,in_review,13,fix-frontend,
WE-20260528-1097,P2,functional,BillingSettings had NO cancel UI at all (not just missing confirm),PlanBillingTab documented "cancel/reactivate actions" but BillingSettings had no UI - any naive future cancel button would be one-click destructive (WCAG 3.3.4 violation),BillingSettings: new "Cancel subscription" button (paid tiers only) gated behind shadcn AlertDialog - default focus on "Keep subscription"+ destructive "Yes cancel" needs deliberate 2nd click; reversibility leg: when status=cancel_scheduled shows "Resume subscription" with own confirm; visually-hidden aria-live=polite status region for WCAG 4.1.3. DowngradeFlow: matching aria-live region for confirm->loading->success/error a11y parity. paymentService: new cancelSubscription + reactivateSubscription with idempotency clientRequestId. NOTE: backend endpoints /api/payment/subscription/cancel and /reactivate referenced but not yet implemented server-side - UI errors gracefully (role=alert) until backend lands,https://github.com/MeghaPatel07/easeBot/pull/87,87,in_review,13,fix-frontend,Backend endpoints needed - flagged for Krish
WE-20260527-023,P3,visual,NotFound page lacks search / sitemap,Only "Return to Home" link - users with mistyped URLs have no path,Switched anchors to react-router Link; shows bad path so users spot typo; contextual Go back button when history.length>1; Popular destinations 2-col grid: Chat/Pricing/Help/Sign in or My planner (auth-gated)/Privacy/Terms. Search input skipped (no global search route exists),https://github.com/MeghaPatel07/easeBot/pull/88,88,in_review,8,fix-frontend,
WE-20260528-1072+1079,P1/P2,a11y,Help.tsx feedback form autocomplete missing + generic error toast no recovery,Bundle (same file Help.tsx): -1072 no autocomplete on name/email - WCAG 1.3.5 fail; -1079 "Something went wrong" toast no recovery path,Bundled: autoComplete=name + autoComplete=email + htmlFor/id labels (-1072). Extracted submitTicket() so retry uses same code path. classifyError() maps navigator.onLine/firestore-unavailable/permission-denied/etc to user-friendly messages with mailto fallback. Toast ships ToastAction "Try again" button that re-fires against populated form state (-1079),https://github.com/MeghaPatel07/easeBot/pull/89,89,in_review,8,fix-frontend,Bundled - 2 tickets one file
WE-20260527-036,P3,functional,FeedbackDialog missing required-field validation indicator,User can submit empty form and get vague error,aria-required + aria-invalid + aria-describedby on textarea + email; inline role=alert error paragraphs after blur if invalid; sr-only "(required)" alongside visual *; Submit derives disabled from per-field validators; Tailwind aria-[invalid=true]:ring-1 ring-destructive/60 red-ring; keeps submit-time toast as fallback,https://github.com/MeghaPatel07/easeBot/pull/90,90,in_review,8,fix-frontend,
