ID,created_at,reporter_agent,severity,priority,repo,path,url_or_page,breakpoint,category,title,description,steps_to_reproduce,expected,actual,evidence_path,assigned_agent,status,last_updated,pr_url,progress_html_path,notes
WE-20260527-011,2026-05-27T15:40:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat` + `easebot-backend,src/pages/Index.tsx` (guest counter text) vs `easebot-backend/src/middleware/quotaMiddleware.ts:164,http://localhost:8081/` (guest mode),all,contract,"Free-tier image quota label disagrees with frontend (""3 images remaining"" but backend uses tokens)","Guest banner shows: `Guest Mode — 10 messages remaining · 3 images remaining`. The pricing page (`/pricing`) describes Free as ""300K tokens / month (50K daily) … Voice, vision & image generation"" — i.e. a token-based limit, NOT a hard cap of 3 images. Backend `quotaMiddleware.ts` debits images as `vision` (2,000 tokens each) and never enforces a count of 3. The ""3 images remaining"" copy is mislea…","1. `http://localhost:8081/` guest. 2. Read the guest banner: shows ""3 images remaining"". 3. Visit `/pricing` → Free row has no ""3 images"" line.",UI copy that reflects what is actually enforced. Either honour a hard 3-image guest cap (visible in code + tests) or show a token estimate instead.,"Frontend hardcodes ""3 images remaining"" with no clear source-of-truth in the backend quota config (`tokenMeter.ts`, `quotaMiddleware.ts`).",qa-harness/evidence/WE-20260527-011/,fix-frontend,triaged,2026-05-27T15:55:43.809141,,,
WE-20260527-012,2026-05-27T15:41:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/hooks/useChat.ts` (or wherever `guest_messages` counter is decremented),http://localhost:8081/` (guest),all,state-sync,Guest message counter decrements before AI response arrives — premature debit on stream failures,"Sending a successful chat decrements the counter from 10 → 9. Sending an image-generation request that fails (see WE-20260527-002) keeps the message counter at 9, suggesting the counter decrements regardless of outcome. If the SSE stream errors out before the assistant's first token, the user still loses one of their 10 free messages — a poor UX for a feature that's already broken.",1. Open guest at `http://localhost:8081/`. Counter shows `10 messages remaining`. 2. Send `Generate an image of pastel mandap with white roses`. 3. Wait until error appears (~110 s). 4. Note counter is now `9` (image gen never actually delivered).,Counter is only debited on successful response (or refunded on stream error). Confirm via the dev-console events that the debit is reverted when the SSE stream emits an `e` (error) frame.,Counter is decremented at request-send time and never restored.,qa-harness/evidence/WE-20260527-012/,fix-state-data,triaged,2026-05-27T15:55:43.809417,,,
WE-20260527-013,2026-05-27T15:42:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/components/AnalyticsConsent.tsx:62` overlaps top-right header toolbar,"http://localhost:8081/` (first load, mobile especially)",mobile/tablet,responsive,"Language selector (""Response language"") not reachable while analytics consent banner is open","Trying to click `button[aria-label=""Response language""]` when the AnalyticsConsent banner is still showing returns ""Element is not visible"". The consent overlay sits at the bottom but its `z-[100]` plus its body wrapper apparently elevates an offscreen flex chain that shadows the language pill. (See related WE-20260527-006.)","1. Clear localStorage to force consent banner. 2. Reload `http://localhost:8081/`. 3. With banner still open, try to programmatically click `button[aria-label=""Response language""]`. 4. Repeats: ""element is not visible"".",Header controls always interactive regardless of unrelated overlays.,Header buttons report `isVisible: false` until the banner is dismissed.,qa-harness/evidence/WE-20260527-013/,fix-frontend,triaged,2026-05-27T15:55:43.809761,,,
WE-20260527-014,2026-05-27T15:43:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/components/auth/SignInStep.tsx,"http://localhost:8081/login` → ""Continue With Email""",all,functional,Sign-in error UI shows generic banner only — no inline field error after invalid creds,"Clicking ""Continue With Email"" without first entering an email produces only a tiny top-of-card pink banner: ""Please enter your email address"". The email input itself is **not** marked invalid, has no red ring, no `aria-invalid`, no descriptive error tied via `aria-describedby`. Screen-reader users get nothing. Sighted users may miss the banner.","1. `http://localhost:8081/login`. 2. Dismiss consent. 3. Click ""Continue With Email"" without typing anything.","Email field shows an inline error: red ring, `aria-invalid=""true""`, `aria-describedby` pointing to a `role=""alert""` text node (""Please enter your email address""). Focus moves to the field.",Only the small banner at the top of the card. Field is unmarked.,qa-harness/evidence/WE-20260527-014/,fix-frontend,triaged,2026-05-27T15:55:43.810618,,,
WE-20260527-015,2026-05-27T15:44:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/Index.tsx:1628-1638` (occasion chip render with `selectedOccasion === occ` ring),http://localhost:8081/,all,visual,"Occasion chip ""Engagement"" has no visible state change on click (selection invisible in screenshot)","Clicking an occasion chip (e.g. ""Engagement"") updates internal state (`selectedOccasion`) and enables the reset button, but the chip's visual change (`bg-primary/20 border-primary/40 text-primary`) is so subtle that, in screenshots captured at 1440×900, the selected chip is visually indistinguishable from the unselected ones. The body-text dump shows no visible change either.","1. `http://localhost:8081/`, dismiss consent. 2. Click ""Engagement"" in the occasion strip. 3. Take a screenshot before vs after.","Selected chip has obvious filled background, a label badge (""Engagement selected""), or moves to the front so the chip is unmistakably ""on"".",`bg-primary/20` at 20% alpha on top of a beige background is barely a tint. Confidence in selection state is low.,qa-harness/evidence/WE-20260527-015/,fix-frontend,triaged,2026-05-27T15:55:43.810950,,,
WE-20260527-016,2026-05-27T15:45:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,src/pages/Index.tsx:1630` (chip onClick only sets `selectedOccasion`); chat send call site,http://localhost:8081/,all,contract,Selecting occasion chip does NOT update chat context — assistant unaware of occasion,"Selecting ""Engagement"" then asking ""What should I wear for the bride?"" returns a thoughtful response, but the response is generic to any engagement — there is no indication the selected occasion is being forwarded to the backend. Inspecting the `POST /api/chat/stream` request body shows only `{message, mode}` — no `occasion` field. The user-visible response includes ""Engagement outfits are…"" only…","1. Open `http://localhost:8081/`, dismiss consent. 2. Select ""Haldi"" chip. 3. Type ""What should I wear?"" → press Enter. 4. Watch DevTools network → `POST /api/chat/stream` body.","Request body contains `{ message, mode, occasion: ""haldi"" }` (or system prompt is augmented), and the assistant tailors to haldi (yellow/floral palette, marigold, etc.).",No occasion in request payload. Response is generic to whatever keyword the user typed.,,fix-state-data,triaged,2026-05-27T15:55:43.811616,,qa-harness/progress/WE-20260527-016/progress.html,
WE-20260527-017,2026-05-27T15:46:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/Index.tsx` (homepage hero) + guest banner,http://localhost:8081/` (guest),all,visual,"""Sign in to save your conversations"" appears twice on guest home","The guest homepage shows the same call to action twice within ~50 px of each other: - Hero: ""Get Responses Tailored To You — Log in to save chats, create images, and get personalized wedding planning. [Log In]"" - Below: ""Guest Mode — 10 messages remaining · 3 images remaining — This chat won't be saved. **Sign in to save your conversations.**"" Two CTAs to ""sign in to save"" overlap in meaning. The…",1. Open `http://localhost:8081/` as guest. 2. Read the top of the page.,A single concise sign-in CTA — either consolidate the messaging into one banner or remove the redundant tagline.,Two CTAs side by side. Slight wording difference but same intent.,,fix-frontend,triaged,2026-05-27T15:55:43.811934,,,
WE-20260527-018,2026-05-27T15:47:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/Index.tsx` (occasion chips section + mode pill),http://localhost:8081/,all,a11y,"Two identical ""Auto"" buttons in DOM near composer","Button enumeration of the home page lists `""Auto""` twice as separate buttons (`btn[35]` and `btn[38]`). Without aria-labels disambiguating them, a screen-reader user hears ""Auto button, Auto button"" with no context. Per `modeRouter.ts`, ""Auto"" is the mode-select default — but it should appear once.",1. `http://localhost:8081/`. 2. Console: `[...document.querySelectorAll('button')].filter(b => b.innerText.trim() === 'Auto').length` → returns `2`.,"Single button, or two with disambiguated labels (e.g. `Auto language` vs `Auto mode`).","Two identical buttons; one is the mode pill, one is likely the language fallback. Confusing for keyboard / screen-reader users.",,fix-frontend,triaged,2026-05-27T15:55:43.812379,,,
WE-20260527-019,2026-05-27T15:48:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,"index.html` line ~38 (`<link rel=""preload"" href=""/images/IMG_3917.PNG"" as=""image"" type=""image/png"" />`)",every route,all,perf,Image preload (`/images/IMG_3917.PNG`) preloaded but unused — wasted bandwidth + console warning,`index.html` preloads `/images/IMG_3917.PNG` but the asset is never referenced (no `img src=` or `background-image` URL matches). Browser warns: ``` The resource http://localhost:8081/images/IMG_3917.PNG was preloaded using link preload but not used within a few seconds from the window's load event. ``` Wastes ~hundreds of KB on every visitor's first load.,"1. Load any route, e.g. `http://localhost:8081/`. 2. Open Network → filter for `IMG_3917`. 3. Console warning fires within 4 s of load.","Remove the preload (the comment in `index.html` says ""Preload background image for immediate loading"" — but nothing in the rendered DOM uses it) or wire the asset to whatever it was intended to back.",Preloaded → never used → console warning.,,fix-performance,triaged,2026-05-27T15:55:43.812775,,,
WE-20260527-020,2026-05-27T15:49:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/components/chat/ChatInput.tsx,http://localhost:8081/,all,edge,Guest hits send-on-empty-input — Enter key still triggers send,"The Send button has no aria-label and no visible disabled state. We could not confirm via DOM whether it has a `disabled` attribute. Pressing Enter with empty textarea also has not been confirmed to be a no-op. Spec checklist item: ""Send button disabled when input empty.""","1. `http://localhost:8081/`, dismiss consent. 2. Focus the textarea (do not type). 3. Press Enter.","No request to `POST /api/chat/stream`. The Send icon is visibly disabled (greyed). `aria-disabled=""true""`.","Unknown — there is no aria-labelled ""Send"" button to probe. The textarea-focused Enter must be inspected, but missing aria makes the contract opaque.",,fix-frontend,triaged,2026-05-27T15:55:43.813163,,,
WE-20260527-021,2026-05-27T15:50:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/pages/PaymentSuccess.tsx,http://localhost:8081/payment/success,all,e2e-flow,"Payment success page shows ""could not verify your transaction"" for unauthenticated direct hit","Direct visit to `/payment/success` (no PayU token in URL, no session) renders: > Payment received > We could not verify your transaction (You were signed out during checkout. Please sign in again to view this receipt.). Please contact support if this persists. > [Go to Plan & Billing] [Back to app] The headline ""Payment received"" then immediately tells the user it cannot verify the transaction. C…",1. Open incognito at `http://localhost:8081/payment/success`. 2. Read the page.,"If there is no payment token + no auth, show a neutral ""Sign in to view payment receipt"" page; do not lead with ""Payment received"".",Mixed message — could mislead users into thinking they were charged when they weren't (or panic users into contacting support when they shouldn't).,,fix-frontend,triaged,2026-05-27T15:55:43.813896,,,
WE-20260527-022,2026-05-27T15:51:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/PaymentFailure.tsx,http://localhost:8081/payment/failure,all,e2e-flow,"Payment failure page shows ""Reason: unknown"" when no reason param provided","Direct visit to `/payment/failure` renders literal text ""Reason: unknown"". A user landing here from a bookmark or shared link sees an unhelpful technical placeholder.",1. Open `http://localhost:8081/payment/failure` directly (no query params). 2. Read the body.,"If no failure reason is known, hide the ""Reason:"" row entirely OR show ""Reason: not provided by payment provider"" without the dev-y `unknown` token.",`Reason: unknown` literal text printed.,,fix-frontend,triaged,2026-05-27T15:55:43.814162,,,
WE-20260527-023,2026-05-27T15:52:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/NotFound.tsx,http://localhost:8081/any-bad-route` (catches `*`),all,functional,"NotFound page lacks search / sitemap — only ""Return to Home"" link","The 404 page reads: > 404 > Oops! Page not found > [Return to Home] That's it. Common typos (`/privacy-policy` instead of `/privacy`, `/terms-of-service` instead of `/terms`, `/images` instead of `/{userId}/images`, `/settings` instead of `/?settings=account`) all land here with zero guidance. A 404 in 2026 should offer at least a search and the most-visited pages.","1. Visit `http://localhost:8081/privacy-policy`, `/terms-of-service`, `/images`, `/settings`, or any other unsupported URL.","A 404 page with quick links: Home, Sign in, Pricing, Help/FAQ.",Bare-bones 404. The four URLs above all hit this dead end — see WE-20260527-024 for the deeper deeplink issue.,,fix-frontend,triaged,2026-05-27T15:55:43.814529,,,
WE-20260527-024,2026-05-27T15:53:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,src/App.tsx:71-105` (Routes),multiple,all,e2e-flow,"Common URL aliases 404 instead of redirecting (`/privacy-policy`, `/terms-of-service`, `/images`, `/settings`)",Routes only support the abbreviated paths: - `/privacy` (works) → 200 Privacy Policy renders - `/terms` (works) → 200 Terms renders - `/privacy-policy` (404) → NotFound - `/terms-of-service` (404) → NotFound - `/images` (404) → NotFound (canonical needs userId: `/:userId/images`) - `/settings` (404) → NotFound (settings are query-string driven: `/?settings=account`) - `/checkout` (200 but silentl…,1. Visit each URL in a fresh tab and observe outcome (or run `qa-pages.mjs`).,"Common aliases redirect (HTTP 301/302 or client-side `<Navigate>`) to their canonical route. `/settings` either renders a wrapper that opens the settings modal, or redirects to `/?settings=account`. …","All those URLs hit the catch-all `<Route path=""*"" element={<NotFound />} />` and dead-end.",,fix-frontend,in_review,2026-05-27T17:09:51.046274,https://github.com/MeghaPatel07/easeBot/compare/Bug-Resolve-claude...fix-WE-20260527-024,qa-harness/progress/WE-20260527-024/progress.html,fix-WE-20260527-024
WE-20260527-025,2026-05-27T15:54:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/pages/settings/SettingsShell.tsx` modal open/close handlers,http://localhost:8081/?settings=account,all,state-sync,Settings URL pollutes browser history (`/?settings=account` doesn't pop when modal closes),Clicking the Settings button pushes `?settings=account` onto the URL. Closing the modal (Esc / outside-click) probably does not clean the query param (untested live but visible in the URL after `qa-settings.mjs`). The user's back button then takes them back into Settings instead of away from the page.,"1. `http://localhost:8081/`, dismiss consent. 2. Click Settings. 3. URL becomes `/?settings=account`. 4. Press Escape to close the modal. 5. Inspect URL — does the query param go away? Press Back — does it open Settings again?",`replaceState`-based open and a `replaceState` cleanup on close. Settings should not pollute history.,Param persists; back button behaviour likely intercepts the user.,,fix-frontend,triaged,2026-05-27T15:55:43.815231,,,
WE-20260527-026,2026-05-27T15:55:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/pages/settings/` (AI Behavior tab — tone sliders),http://localhost:8081/?settings=account` → AI Behavior,all,state-sync,"Tone slider — ""Save tone"" button: state-sync ambiguity vs autosave (10 sliders, manual save required)","The AI Behavior tab renders 10 named tone sliders (Warm/Cool, Analytical/Intuitive, Friendly/Formal, Professional/Casual, Enthusiastic/Calm, Concise/Detailed, Quirky/Straight, Candid/Diplomatic, Emojis None/Lots, Headers Prose/Structured). Below them is a single ""Save tone"" button. There's no indication of ""unsaved changes"" — a user who tweaks sliders, switches tabs, and comes back may lose them …","1. Settings → AI Behavior. 2. Move ""Friendly/Formal"" slider. 3. Click ""Data & Privacy"" tab without pressing ""Save tone"". 4. Return to AI Behavior tab.","Either autosave on slider release, or persistent ""Unsaved changes — Save / Discard"" sticky banner.","No dirty indicator. User must remember to press ""Save tone"" or risk losing the change.",,fix-frontend,triaged,2026-05-27T15:55:43.815702,,,
WE-20260527-027,2026-05-27T15:56:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,Settings → AI Behavior → Voice section,http://localhost:8081/?settings=account` → AI Behavior → Voice,all,functional,"Voice presets — preview (""Tap the speaker to preview"") not testable on desktop, no inline confirmation","The Voice section lists six presets (Aria, Echo, Nova, Vale, Luna, Sol) with the copy ""Tap the speaker to preview."" There's a ""Save voice"" button at the bottom. We could not find a speaker icon in the body-text dump — the icon may be SVG-only without aria-label. A blind user has no way to preview. Sighted users have no indication of which preset is currently selected vs which is being previewed.","1. Settings → AI Behavior → Voice. 2. Try to find the ""speaker"" preview icon for ""Aria"". 3. Aria-enumerate buttons in this region.","Each voice card has a clearly labelled speaker button (`aria-label=""Preview Aria voice""`). The current voice has a distinct selected state. Saving toasts the change.",Speaker icons exist as SVG-only buttons (no aria label). Selection state and save confirmation are ambiguous in screenshots.,,fix-frontend,triaged,2026-05-27T15:55:43.815986,,,
WE-20260527-028,2026-05-27T15:57:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/pages/settings/SettingsShell.tsx,http://localhost:8081/?settings=account,all,responsive,"Settings shell has two duplicate tabs (AI Behavior, Data & Privacy, About each appearing twice)","Querying `[role=""tab""]` on the settings modal returns six entries: ``` [""AI Behavior"",""Data & Privacy"",""About"",""AI Behavior"",""Data & Privacy"",""About""] ``` i.e. each tab is rendered twice (probably a mobile drawer + desktop sidebar both mounted). Screen readers will announce six tabs.","1. `http://localhost:8081/?settings=account`. 2. Console: `document.querySelectorAll('[role=""tab""]').length`.","Three tabs, with one variant hidden via Tailwind responsive classes — but the duplicates should NOT both carry `role=""tab""`.","Six `role=""tab""` elements on one screen.",,fix-frontend,triaged,2026-05-27T15:57:52.212895,,,
